version,nx,ny,iters,threads_or_procs,time_s,checksum
omp,100,100,1000,1,0.017491440,149721.203125
omp,100,100,1000,2,0.012149880,149721.203125
omp,100,100,1000,4,0.009199286,149721.203125
omp,100,100,1000,8,0.007302540,149721.203125
omp,100,100,1000,16,0.338550773,149721.203125
omp,500,500,1000,1,0.686686552,883632.437500
omp,500,500,1000,2,0.513949237,883632.437500
omp,500,500,1000,4,0.416191437,883632.437500
omp,500,500,1000,8,0.403306442,883632.437500
omp,500,500,1000,16,0.637018285,883632.437500
omp,1000,1000,1000,1,2.360503257,1800892.875000
omp,1000,1000,1000,2,1.599716037,1800892.875000
omp,1000,1000,1000,4,1.325691119,1800892.875000
omp,1000,1000,1000,8,1.118240307,1800892.875000
omp,1000,1000,1000,16,1.364110563,1800892.875000
